,id,text,author
8216,id12391,"In that palace there were also many galleries, and many amphitheatres where lions and men and elephants battled at the pleasure of the kings.",HP Lovecraft
8618,id08596,"I now bent to the left around the ruinous green; still gazing toward the ocean as it blazed in the spectral summer moonlight, and watching the cryptical flashing of those nameless, unexplainable beacons.",HP Lovecraft
2078,id19065,"My programme, I decided, would be to thread the principal streets, talk with any non natives I might encounter, and catch the eight o'clock coach for Arkham.",HP Lovecraft
11016,id14385,I had lived with the old gentleman all my life.,Edgar Alan Poe
10382,id27520,"When he and I obtained our degrees at the medical school of Miskatonic University, and sought to relieve our poverty by setting up as general practitioners, we took great care not to say that we chose our house because it was fairly well isolated, and as near as possible to the potter's field.",HP Lovecraft
13902,id27316,"Between the phantasms of nightmare and the realities of the objective world a monstrous and unthinkable relationship was crystallising, and only stupendous vigilance could avert still more direful developments.",HP Lovecraft
8676,id02130,All these circumstances were now related to Adrian and Idris.,Mary Wollstonecraft Shelley 
414,id00128,"An' the smell was awful, like what it is araound Wizard Whateley's ol' haouse. . .",HP Lovecraft
43,id20751,"The visits of Merrival to Windsor, before frequent, had suddenly ceased.",Mary Wollstonecraft Shelley 
6249,id10424,"Everything he saw was unspeakably menacing and horrible; and whenever one of the organic entities appeared by its motions to be noticing him, he felt a stark, hideous fright which generally jolted him awake.",HP Lovecraft
9000,id09313,"It also bore the inscription, ""From Eric Moreland Clapham Lee, St. Eloi, Flanders"".",HP Lovecraft
7989,id05482,"Then, when he was free, he felt in his blouse pocket for the key; and being reassured, skipped off across the orchard to the rise beyond, where the wooded hill climbed again to heights above even the treeless knoll.",HP Lovecraft
17672,id20468,My mother's tender caresses and my father's smile of benevolent pleasure while regarding me are my first recollections.,Mary Wollstonecraft Shelley 
5837,id16744,"Gradually I had come to be his inseparable assistant, and now that we were out of college we had to keep together.",HP Lovecraft
7515,id25691,"The ossification had proceeded with very unusual rapidity; no sign of it had been discovered a month before, and the adhesion had only been observed during the three previous days.",Edgar Alan Poe
228,id09691,"When I heard the fears which had driven the people from Kilderry I laughed as loudly as my friend had laughed, for these fears were of the vaguest, wildest, and most absurd character.",HP Lovecraft
13211,id27749,"He knew but a few words of English, while I found my Oxonian Spanish was something quite different from the patois of the peon of New Spain.",HP Lovecraft
1733,id12786,"I hear a noise at the door, as of some immense slippery body lumbering against it.",HP Lovecraft
7813,id09259,"""And the man sat upon the rock, and leaned his head upon his hand, and looked out upon the desolation.",Edgar Alan Poe
2263,id22449,"Some few inquiries had been made, but these had been readily answered.",Edgar Alan Poe
13471,id00392,"He often thanked us for the books we lent him, and for the use of our instruments, but never spoke of his altered abode or change of circumstances.",Mary Wollstonecraft Shelley 
9791,id01712,Shameful debaucheries flagrant treacheries unheard of atrocities gave his trembling vassals quickly to understand that no servile submission on their part no punctilios of conscience on his own were thenceforward to prove any security against the remorseless fangs of a petty Caligula.,Edgar Alan Poe
13395,id12304,On our way home my companion stepped in for a moment at the office of one of the daily papers.,Edgar Alan Poe
